ITEM_NUM,AWARD_YEAR,ORIGIN_AIRPORT_ABBREV,DESTINATION_AIRPORT_ABBREV,ORIGIN_CITY_NAME,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREV,AWARDED_SERV,PAX_COUNT,YCA_FARE,XCA_FARE,BUSINESS_FARE,ORIGIN_AIRPORT_LOCATION,DESTINATION_AIRPORT_LOCATION,ORIGIN_CITY_STATE_AIRPORT,DESTINATION_CITY_STATE_AIRPORT,EFFECTIVE_DATE,EXPIRATION_DATE
35,2018,ABQ,SLC,ALBUQUERQUE                                       ,NM,USA                                               ,SALT LAKE CITY                                    ,UT,USA                                               ,DL,N,3228,440.0000,261.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,SALT LAKE CITYUT-SLC                                   ,10/01/2017,09/30/2018
36,2018,ABQ,SMF,ALBUQUERQUE                                       ,NM,USA                                               ,SACRAMENTO                                        ,CA,USA                                               ,AA,C,1514,225.0000,127.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,SACRAMENTOCA-SMF                                       ,10/01/2017,09/30/2018
37,2018,ABQ,TUS,ALBUQUERQUE                                       ,NM,USA                                               ,TUCSON                                            ,AZ,USA                                               ,AA,C,1053,214.0000,146.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,TUCSONAZ-TUS                                           ,10/01/2017,09/30/2018
38,2018,ABQ,VPS,ALBUQUERQUE                                       ,NM,USA                                               ,FT. WALTON BEACH                                  ,FL,USA                                               ,AA,C,2166,350.0000,199.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,FT. WALTON BEACHFL-VPS                                 ,10/01/2017,09/30/2018
39,2018,ABR,DCA,ABERDEEN                                          ,SD,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,DL,C,196,555.0000,425.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,ABERDEENSD-ABR                                         ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
40,2018,ABR,MSP,ABERDEEN                                          ,SD,USA                                               ,MINNEAPOLIS-ST.PAUL                               ,MN,USA                                               ,DL,N,164,269.0000,0.0000,0.0000,                                                                                                              ,                                                                                                              ,ABERDEENSD-ABR                                         ,MINNEAPOLIS-ST.PAULMN-MSP                              ,10/01/2017,09/30/2018
41,2018,ABY,ATL,ALBANY                                            ,GA,USA                                               ,ATLANTA                                           ,GA,USA                                               ,DL,N,361,464.0000,261.0000,0.0000,                                                                                                              ,ATLANTA                                                                                                       ,ALBANYGA-ABY                                           ,ATLANTAGA-ATL                                          ,10/01/2017,09/30/2018
42,2018,ABY,DCA,ALBANY                                            ,GA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,DL,C,1322,554.0000,400.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,ALBANYGA-ABY                                           ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
43,2018,ACK,BOS,NANTUCKET                                         ,MA,USA                                               ,BOSTON                                            ,MA,USA                                               ,B6,N,76,118.0000,68.0000,0.0000,                                                                                                              ,BOSTON                                                                                                        ,NANTUCKETMA-ACK                                        ,BOSTONMA-BOS                                           ,10/01/2017,09/30/2018
44,2018,ACK,DCA,NANTUCKET                                         ,MA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,N,158,278.0000,158.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,NANTUCKETMA-ACK                                        ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
45,2018,ACT,DCA,WACO                                              ,TX,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,C,181,529.0000,300.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,WACOTX-ACT                                             ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
46,2018,ACT,DFW,WACO                                              ,TX,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,AA,N,85,251.0000,142.0000,0.0000,                                                                                                              ,DALLAS/FT. WORTH INT'L AIRPORT                                                                                ,WACOTX-ACT                                             ,DALLAS-FT. WORTHTX-DFW                                 ,10/01/2017,09/30/2018
49,2018,ADK,ANC,ADAK ISLAND                                       ,AK,USA                                               ,ANCHORAGE                                         ,AK,USA                                               ,AS,N,654,609.0000,0.0000,0.0000,                                                                                                              ,                                                                                                              ,ADAK ISLANDAK-ADK                                      ,ANCHORAGEAK-ANC                                        ,10/01/2017,09/30/2018
50,2018,ADQ,ANC,KODIAK                                            ,AK,USA                                               ,ANCHORAGE                                         ,AK,USA                                               ,AS,N,5330,259.0000,0.0000,0.0000,                                                                                                              ,                                                                                                              ,KODIAKAK-ADQ                                           ,ANCHORAGEAK-ANC                                        ,10/01/2017,09/30/2018
51,2018,AEX,ATL,ALEXANDRIA                                        ,LA,USA                                               ,ATLANTA                                           ,GA,USA                                               ,DL,N,1515,460.0000,282.0000,0.0000,                                                                                                              ,ATLANTA                                                                                                       ,ALEXANDRIALA-AEX                                       ,ATLANTAGA-ATL                                          ,10/01/2017,09/30/2018
52,2018,AEX,DCA,ALEXANDRIA                                        ,LA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,DL,C,1480,355.0000,177.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,ALEXANDRIALA-AEX                                       ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
53,2018,AEX,DFW,ALEXANDRIA                                        ,LA,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,AA,N,1297,294.0000,167.0000,0.0000,                                                                                                              ,DALLAS/FT. WORTH INT'L AIRPORT                                                                                ,ALEXANDRIALA-AEX                                       ,DALLAS-FT. WORTHTX-DFW                                 ,10/01/2017,09/30/2018
54,2018,AEX,IAH,ALEXANDRIA                                        ,LA,USA                                               ,HOUSTON                                           ,TX,USA                                               ,UA,N,303,612.0000,340.0000,0.0000,                                                                                                              ,HOUSTON INTERCONTINENTAL                                                                                      ,ALEXANDRIALA-AEX                                       ,HOUSTONTX-IAH                                          ,10/01/2017,09/30/2018
55,2018,AEX,PHL,ALEXANDRIA                                        ,LA,USA                                               ,PHILADELPHIA                                      ,PA,USA                                               ,DL,C,1127,404.0000,231.0000,0.0000,                                                                                                              ,PHILADELPHIA                                                                                                  ,ALEXANDRIALA-AEX                                       ,PHILADELPHIAPA-PHL                                     ,10/01/2017,09/30/2018
56,2018,AEX,SYR,ALEXANDRIA                                        ,LA,USA                                               ,SYRACUSE                                          ,NY,USA                                               ,DL,C,1541,578.0000,504.0000,0.0000,                                                                                                              ,                                                                                                              ,ALEXANDRIALA-AEX                                       ,SYRACUSENY-SYR                                         ,10/01/2017,09/30/2018
57,2018,AGS,BWI,AUGUSTA                                           ,GA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,DL,C,7833,289.0000,144.0000,0.0000,                                                                                                              ,BALTIMORE/WASHINGTON INT'L AIRPORT                                                                            ,AUGUSTAGA-AGS                                          ,WASHINGTONDC-BWI                                       ,10/01/2017,09/30/2018
58,2018,AGS,CLT,AUGUSTA                                           ,GA,USA                                               ,CHARLOTTE                                         ,NC,USA                                               ,AA,N,341,294.0000,167.0000,0.0000,                                                                                                              ,CHARLOTTE                                                                                                     ,AUGUSTAGA-AGS                                          ,CHARLOTTENC-CLT                                        ,10/01/2017,09/30/2018
59,2018,AGS,DCA,AUGUSTA                                           ,GA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,C,4861,229.0000,130.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,AUGUSTAGA-AGS                                          ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
60,2018,AGS,IAD,AUGUSTA                                           ,GA,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,C,1515,212.0000,120.0000,0.0000,                                                                                                              ,WASHINGTON DULLES INT'L AIRPORT                                                                               ,AUGUSTAGA-AGS                                          ,WASHINGTONDC-IAD                                       ,10/01/2017,09/30/2018
61,2018,AGS,SAT,AUGUSTA                                           ,GA,USA                                               ,SAN ANTONIO                                       ,TX,USA                                               ,AA,C,2360,313.0000,123.0000,0.0000,                                                                                                              ,                                                                                                              ,AUGUSTAGA-AGS                                          ,SAN ANTONIOTX-SAT                                      ,10/01/2017,09/30/2018
62,2018,AGS,SEA,AUGUSTA                                           ,GA,USA                                               ,SEATTLE-TACOMA                                    ,WA,USA                                               ,DL,C,1641,349.0000,238.0000,0.0000,                                                                                                              ,                                                                                                              ,AUGUSTAGA-AGS                                          ,SEATTLE-TACOMAWA-SEA                                   ,10/01/2017,09/30/2018
63,2018,AGS,TUS,AUGUSTA                                           ,GA,USA                                               ,TUCSON                                            ,AZ,USA                                               ,DL,C,1249,645.0000,446.0000,0.0000,                                                                                                              ,                                                                                                              ,AUGUSTAGA-AGS                                          ,TUCSONAZ-TUS                                           ,10/01/2017,09/30/2018
64,2018,AKN,ANC,KING SALMON                                       ,AK,USA                                               ,ANCHORAGE                                         ,AK,USA                                               ,AS,N,1000,279.0000,0.0000,0.0000,                                                                                                              ,                                                                                                              ,KING SALMONAK-AKN                                      ,ANCHORAGEAK-ANC                                        ,10/01/2017,09/30/2018
65,2018,ALB,ATL,ALBANY                                            ,NY,USA                                               ,ATLANTA                                           ,GA,USA                                               ,DL,N,1273,308.0000,189.0000,0.0000,                                                                                                              ,ATLANTA                                                                                                       ,ALBANYNY-ALB                                           ,ATLANTAGA-ATL                                          ,10/01/2017,09/30/2018
66,2018,ALB,BWI,ALBANY                                            ,NY,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,WN,N,1465,229.0000,162.0000,0.0000,                                                                                                              ,BALTIMORE/WASHINGTON INT'L AIRPORT                                                                            ,ALBANYNY-ALB                                           ,WASHINGTONDC-BWI                                       ,10/01/2017,09/30/2018
67,2018,ALB,DCA,ALBANY                                            ,NY,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,N,4965,343.0000,195.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,ALBANYNY-ALB                                           ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
68,2018,ALB,DTW,ALBANY                                            ,NY,USA                                               ,DETROIT                                           ,MI,USA                                               ,DL,N,511,430.0000,256.0000,0.0000,                                                                                                              ,DETROIT                                                                                                       ,ALBANYNY-ALB                                           ,DETROITMI-DTW                                          ,10/01/2017,09/30/2018
69,2018,ALB,IAD,ALBANY                                            ,NY,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,UA,N,1017,348.0000,174.0000,0.0000,                                                                                                              ,WASHINGTON DULLES INT'L AIRPORT                                                                               ,ALBANYNY-ALB                                           ,WASHINGTONDC-IAD                                       ,10/01/2017,09/30/2018
70,2018,ALB,LAS,ALBANY                                            ,NY,USA                                               ,LAS VEGAS                                         ,NV,USA                                               ,AA,C,151,326.0000,185.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBANYNY-ALB                                           ,LAS VEGASNV-LAS                                        ,10/01/2017,09/30/2018
71,2018,ALB,MCO,ALBANY                                            ,NY,USA                                               ,ORLANDO                                           ,FL,USA                                               ,B6,N,136,250.0000,110.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBANYNY-ALB                                           ,ORLANDOFL-MCO                                          ,10/01/2017,09/30/2018
72,2018,ALB,MSP,ALBANY                                            ,NY,USA                                               ,MINNEAPOLIS-ST.PAUL                               ,MN,USA                                               ,DL,N,323,421.0000,266.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBANYNY-ALB                                           ,MINNEAPOLIS-ST.PAULMN-MSP                              ,10/01/2017,09/30/2018
73,2018,ALB,ORD,ALBANY                                            ,NY,USA                                               ,CHICAGO                                           ,IL,USA                                               ,UA,N,704,321.0000,170.0000,0.0000,                                                                                                              ,O'HARE INT'L AIRPORT                                                                                          ,ALBANYNY-ALB                                           ,CHICAGOIL-ORD                                          ,10/01/2017,09/30/2018
74,2018,ALB,PHL,ALBANY                                            ,NY,USA                                               ,PHILADELPHIA                                      ,PA,USA                                               ,AA,N,232,294.0000,167.0000,0.0000,                                                                                                              ,PHILADELPHIA                                                                                                  ,ALBANYNY-ALB                                           ,PHILADELPHIAPA-PHL                                     ,10/01/2017,09/30/2018
75,2018,ALB,TPA,ALBANY                                            ,NY,USA                                               ,TAMPA                                             ,FL,USA                                               ,WN,N,379,405.0000,110.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBANYNY-ALB                                           ,TAMPAFL-TPA                                            ,10/01/2017,09/30/2018
