ITEM_NUM,AWARD_YEAR,ORIGIN_AIRPORT_ABBREV,DESTINATION_AIRPORT_ABBREV,ORIGIN_CITY_NAME,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREV,AWARDED_SERV,PAX_COUNT,YCA_FARE,XCA_FARE,BUSINESS_FARE,ORIGIN_AIRPORT_LOCATION,DESTINATION_AIRPORT_LOCATION,ORIGIN_CITY_STATE_AIRPORT,DESTINATION_CITY_STATE_AIRPORT,EFFECTIVE_DATE,EXPIRATION_DATE
1,2018,ABE,ATL,ALLENTOWN                                         ,PA,USA                                               ,ATLANTA                                           ,GA,USA                                               ,DL,N,385,529.0000,283.0000,0.0000,                                                                                                              ,ATLANTA                                                                                                       ,ALLENTOWNPA-ABE                                        ,ATLANTAGA-ATL                                          ,10/01/2017,09/30/2018
2,2018,ABE,DTW,ALLENTOWN                                         ,PA,USA                                               ,DETROIT                                           ,MI,USA                                               ,DL,N,224,475.0000,252.0000,0.0000,                                                                                                              ,DETROIT                                                                                                       ,ALLENTOWNPA-ABE                                        ,DETROITMI-DTW                                          ,10/01/2017,09/30/2018
3,2018,ABE,ORD,ALLENTOWN                                         ,PA,USA                                               ,CHICAGO                                           ,IL,USA                                               ,UA,N,136,582.0000,291.0000,0.0000,                                                                                                              ,O'HARE INT'L AIRPORT                                                                                          ,ALLENTOWNPA-ABE                                        ,CHICAGOIL-ORD                                          ,10/01/2017,09/30/2018
4,2018,ABI,DCA,ABILENE                                           ,TX,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,C,311,578.0000,329.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,ABILENETX-ABI                                          ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
5,2018,ABI,DFW,ABILENE                                           ,TX,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,AA,N,264,340.0000,193.0000,0.0000,                                                                                                              ,DALLAS/FT. WORTH INT'L AIRPORT                                                                                ,ABILENETX-ABI                                          ,DALLAS-FT. WORTHTX-DFW                                 ,10/01/2017,09/30/2018
6,2018,ABQ,ATL,ALBUQUERQUE                                       ,NM,USA                                               ,ATLANTA                                           ,GA,USA                                               ,DL,N,3889,306.0000,188.0000,0.0000,                                                                                                              ,ATLANTA                                                                                                       ,ALBUQUERQUENM-ABQ                                      ,ATLANTAGA-ATL                                          ,10/01/2017,09/30/2018
7,2018,ABQ,BOI,ALBUQUERQUE                                       ,NM,USA                                               ,BOISE                                             ,ID,USA                                               ,AA,C,1150,275.0000,156.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,BOISEID-BOI                                            ,10/01/2017,09/30/2018
8,2018,ABQ,BWI,ALBUQUERQUE                                       ,NM,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,WN,N,7249,339.0000,195.0000,0.0000,                                                                                                              ,BALTIMORE/WASHINGTON INT'L AIRPORT                                                                            ,ALBUQUERQUENM-ABQ                                      ,WASHINGTONDC-BWI                                       ,10/01/2017,09/30/2018
9,2018,ABQ,DAL,ALBUQUERQUE                                       ,NM,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,WN,N,2710,303.0000,0.0000,0.0000,                                                                                                              ,LOVE FIELD  DALLAS                                                                                            ,ALBUQUERQUENM-ABQ                                      ,DALLAS-FT. WORTHTX-DAL                                 ,10/01/2017,09/30/2018
10,2018,ABQ,DAY,ALBUQUERQUE                                       ,NM,USA                                               ,DAYTON                                            ,OH,USA                                               ,AA,C,1913,339.0000,192.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,DAYTONOH-DAY                                           ,10/01/2017,09/30/2018
11,2018,ABQ,DCA,ALBUQUERQUE                                       ,NM,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,AA,C,14592,252.0000,172.0000,0.0000,                                                                                                              ,RONALD REAGAN NATIONAL AIRPORT                                                                                ,ALBUQUERQUENM-ABQ                                      ,WASHINGTONDC-DCA                                       ,10/01/2017,09/30/2018
12,2018,ABQ,DEN,ALBUQUERQUE                                       ,NM,USA                                               ,DENVER                                            ,CO,USA                                               ,UA,N,5903,143.0000,100.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,DENVERCO-DEN                                           ,10/01/2017,09/30/2018
13,2018,ABQ,DFW,ALBUQUERQUE                                       ,NM,USA                                               ,DALLAS-FT. WORTH                                  ,TX,USA                                               ,AA,N,3321,416.0000,236.0000,0.0000,                                                                                                              ,DALLAS/FT. WORTH INT'L AIRPORT                                                                                ,ALBUQUERQUENM-ABQ                                      ,DALLAS-FT. WORTHTX-DFW                                 ,10/01/2017,09/30/2018
14,2018,ABQ,HOU,ALBUQUERQUE                                       ,NM,USA                                               ,HOUSTON                                           ,TX,USA                                               ,WN,N,789,395.0000,245.0000,0.0000,                                                                                                              ,HOBBY AIRPORT                                                                                                 ,ALBUQUERQUENM-ABQ                                      ,HOUSTONTX-HOU                                          ,10/01/2017,09/30/2018
15,2018,ABQ,HSV,ALBUQUERQUE                                       ,NM,USA                                               ,HUNTSVILLE                                        ,AL,USA                                               ,UA,C,1212,352.0000,194.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,HUNTSVILLEAL-HSV                                       ,10/01/2017,09/30/2018
16,2018,ABQ,IAD,ALBUQUERQUE                                       ,NM,USA                                               ,WASHINGTON                                        ,DC,USA                                               ,UA,C,4846,377.0000,208.0000,0.0000,                                                                                                              ,WASHINGTON DULLES INT'L AIRPORT                                                                               ,ALBUQUERQUENM-ABQ                                      ,WASHINGTONDC-IAD                                       ,10/01/2017,09/30/2018
17,2018,ABQ,IAH,ALBUQUERQUE                                       ,NM,USA                                               ,HOUSTON                                           ,TX,USA                                               ,UA,N,733,556.0000,279.0000,0.0000,                                                                                                              ,HOUSTON INTERCONTINENTAL                                                                                      ,ALBUQUERQUENM-ABQ                                      ,HOUSTONTX-IAH                                          ,10/01/2017,09/30/2018
18,2018,ABQ,LAS,ALBUQUERQUE                                       ,NM,USA                                               ,LAS VEGAS                                         ,NV,USA                                               ,WN,N,2941,286.0000,0.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,LAS VEGASNV-LAS                                        ,10/01/2017,09/30/2018
19,2018,ABQ,LAX,ALBUQUERQUE                                       ,NM,USA                                               ,LOS ANGELES                                       ,CA,USA                                               ,AA,N,3320,172.0000,97.0000,0.0000,                                                                                                              ,LOS ANGELES INT'L AIRPORT                                                                                     ,ALBUQUERQUENM-ABQ                                      ,LOS ANGELESCA-LAX                                      ,10/01/2017,09/30/2018
20,2018,ABQ,MCI,ALBUQUERQUE                                       ,NM,USA                                               ,KANSAS CITY                                       ,MO,USA                                               ,WN,N,1946,171.0000,126.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,KANSAS CITYMO-MCI                                      ,10/01/2017,09/30/2018
21,2018,ABQ,MCO,ALBUQUERQUE                                       ,NM,USA                                               ,ORLANDO                                           ,FL,USA                                               ,WN,N,1321,331.0000,217.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,ORLANDOFL-MCO                                          ,10/01/2017,09/30/2018
22,2018,ABQ,MSP,ALBUQUERQUE                                       ,NM,USA                                               ,MINNEAPOLIS-ST.PAUL                               ,MN,USA                                               ,DL,N,785,391.0000,260.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,MINNEAPOLIS-ST.PAULMN-MSP                              ,10/01/2017,09/30/2018
23,2018,ABQ,OAK,ALBUQUERQUE                                       ,NM,USA                                               ,SAN FRANCISCO                                     ,CA,USA                                               ,WN,N,2006,333.0000,163.0000,0.0000,                                                                                                              ,OAKLAND INT'L AIRPORT                                                                                         ,ALBUQUERQUENM-ABQ                                      ,SAN FRANCISCOCA-OAK                                    ,10/01/2017,09/30/2018
24,2018,ABQ,OKC,ALBUQUERQUE                                       ,NM,USA                                               ,OKLAHOMA CITY                                     ,OK,USA                                               ,UA,C,1535,277.0000,140.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,OKLAHOMA CITYOK-OKC                                    ,10/01/2017,09/30/2018
25,2018,ABQ,ORD,ALBUQUERQUE                                       ,NM,USA                                               ,CHICAGO                                           ,IL,USA                                               ,AA,N,1059,248.0000,141.0000,0.0000,                                                                                                              ,O'HARE INT'L AIRPORT                                                                                          ,ALBUQUERQUENM-ABQ                                      ,CHICAGOIL-ORD                                          ,10/01/2017,09/30/2018
26,2018,ABQ,ORF,ALBUQUERQUE                                       ,NM,USA                                               ,NORFOLK                                           ,VA,USA                                               ,DL,C,1359,370.0000,180.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,NORFOLKVA-ORF                                          ,10/01/2017,09/30/2018
27,2018,ABQ,PDX,ALBUQUERQUE                                       ,NM,USA                                               ,PORTLAND                                          ,OR,USA                                               ,AS,N,1965,299.0000,129.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,PORTLANDOR-PDX                                         ,10/01/2017,09/30/2018
28,2018,ABQ,PHX,ALBUQUERQUE                                       ,NM,USA                                               ,PHOENIX/SCOTTSDALE                                ,AZ,USA                                               ,AA,N,6845,194.0000,110.0000,0.0000,                                                                                                              ,PHOENIX                                                                                                       ,ALBUQUERQUENM-ABQ                                      ,PHOENIX/SCOTTSDALEAZ-PHX                               ,10/01/2017,09/30/2018
29,2018,ABQ,RIC,ALBUQUERQUE                                       ,NM,USA                                               ,RICHMOND                                          ,VA,USA                                               ,AA,C,1087,314.0000,178.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,RICHMONDVA-RIC                                         ,10/01/2017,09/30/2018
30,2018,ABQ,SAN,ALBUQUERQUE                                       ,NM,USA                                               ,SAN DIEGO                                         ,CA,USA                                               ,WN,N,2042,344.0000,242.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,SAN DIEGOCA-SAN                                        ,10/01/2017,09/30/2018
31,2018,ABQ,SAT,ALBUQUERQUE                                       ,NM,USA                                               ,SAN ANTONIO                                       ,TX,USA                                               ,AA,C,3539,255.0000,145.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,SAN ANTONIOTX-SAT                                      ,10/01/2017,09/30/2018
32,2018,ABQ,SEA,ALBUQUERQUE                                       ,NM,USA                                               ,SEATTLE-TACOMA                                    ,WA,USA                                               ,AS,N,1934,299.0000,139.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,SEATTLE-TACOMAWA-SEA                                   ,10/01/2017,09/30/2018
33,2018,ABQ,SFO,ALBUQUERQUE                                       ,NM,USA                                               ,SAN FRANCISCO                                     ,CA,USA                                               ,AS,N,1134,259.0000,129.0000,0.0000,                                                                                                              ,SAN FRANCISCO INT'L AIRPORT                                                                                   ,ALBUQUERQUENM-ABQ                                      ,SAN FRANCISCOCA-SFO                                    ,10/01/2017,09/30/2018
34,2018,ABQ,SHV,ALBUQUERQUE                                       ,NM,USA                                               ,SHREVEPORT                                        ,LA,USA                                               ,AA,C,1491,266.0000,151.0000,0.0000,                                                                                                              ,                                                                                                              ,ALBUQUERQUENM-ABQ                                      ,SHREVEPORTLA-SHV                                       ,10/01/2017,09/30/2018
