STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY17 Lodging Rate,FY17 M&IE,
WI,Sheboygan,Sheboygan ,,,$94,$59,
WI,Sturgeon Bay,Door,October 1,June 30,$91,$54,
WI,Sturgeon Bay,Door,July 1,August 31,$96,$54,
WI,Sturgeon Bay,Door,September 1,September 30,$91,$54,
WI,Wisconsin Dells,Columbia,October 1,May 31,$101,$59,
WI,Wisconsin Dells,Columbia,June 1,September 30,$127,$59,
WV,Charleston,Kanawha,,,$107,$54,
WV,Morgantown,Monongalia,,,$105,$54,
WV,Wheeling,Ohio,,,$115,$54,
WY,Cody,Park,October 1,May 31,$108,$64,
WY,Cody,Park,June 1,September 30,$148,$64,
WY,Evanston / Rock Springs,Sweetwater / Uinta,,,$100,$59,
WY,Gillette,Campbell,October 1,May 31,$95,$59,
WY,Gillette,Campbell,June 1,August 31,$111,$59,
WY,Gillette,Campbell,September 1,September 30,$95,$59,
WY,Jackson / Pinedale,Teton / Sublette,October 1,June 30,$141,$74,
WY,Jackson / Pinedale,Teton / Sublette,July 1,August 31,$217,$74,
WY,Jackson / Pinedale,Teton / Sublette,September 1,September 30,$141,$74,
